Epoch: [1][620/1345], lr: 0.00100	Time 1.486 (1.540)	Data 0.000 (0.026)	Loss 3.9320 (3.9325)	Prec@1 14.062 (15.190)	Prec@5 31.250 (36.584)
Epoch: [1][640/1345], lr: 0.00100	Time 1.402 (1.537)	Data 0.000 (0.025)	Loss 3.9320 (3.9305)	Prec@1 12.500 (15.257)	Prec@5 34.375 (36.657)
Epoch: [1][660/1345], lr: 0.00100	Time 1.519 (1.535)	Data 0.000 (0.024)	Loss 3.5751 (3.9278)	Prec@1 17.188 (15.294)	Prec@5 45.312 (36.729)
Epoch: [1][680/1345], lr: 0.00100	Time 1.418 (1.532)	Data 0.000 (0.023)	Loss 3.5403 (3.9250)	Prec@1 18.750 (15.318)	Prec@5 54.688 (36.839)
Epoch: [1][700/1345], lr: 0.00100	Time 1.541 (1.530)	Data 0.000 (0.023)	Loss 4.0531 (3.9236)	Prec@1 14.062 (15.371)	Prec@5 31.250 (36.858)
Epoch: [1][720/1345], lr: 0.00100	Time 1.459 (1.528)	Data 0.000 (0.022)	Loss 3.8637 (3.9200)	Prec@1 18.750 (15.432)	Prec@5 37.500 (36.952)
Epoch: [1][740/1345], lr: 0.00100	Time 1.411 (1.526)	Data 0.000 (0.021)	Loss 4.0273 (3.9165)	Prec@1 21.875 (15.494)	Prec@5 37.500 (37.059)
Epoch: [1][760/1345], lr: 0.00100	Time 1.417 (1.524)	Data 0.000 (0.021)	Loss 3.7360 (3.9142)	Prec@1 17.188 (15.481)	Prec@5 45.312 (37.106)
Epoch: [1][780/1345], lr: 0.00100	Time 1.399 (1.523)	Data 0.000 (0.020)	Loss 3.6126 (3.9100)	Prec@1 21.875 (15.563)	Prec@5 46.875 (37.208)
Epoch: [1][800/1345], lr: 0.00100	Time 1.478 (1.521)	Data 0.000 (0.020)	Loss 3.8025 (3.9070)	Prec@1 15.625 (15.602)	Prec@5 42.188 (37.297)
Epoch: [1][820/1345], lr: 0.00100	Time 1.431 (1.520)	Data 0.000 (0.019)	Loss 3.2869 (3.9033)	Prec@1 26.562 (15.657)	Prec@5 46.875 (37.412)
Epoch: [1][840/1345], lr: 0.00100	Time 1.507 (1.518)	Data 0.000 (0.019)	Loss 3.7586 (3.8991)	Prec@1 15.625 (15.749)	Prec@5 42.188 (37.487)
Epoch: [1][860/1345], lr: 0.00100	Time 1.435 (1.517)	Data 0.000 (0.019)	Loss 4.1424 (3.8967)	Prec@1 6.250 (15.783)	Prec@5 31.250 (37.516)
Epoch: [1][880/1345], lr: 0.00100	Time 1.517 (1.516)	Data 0.000 (0.018)	Loss 3.7085 (3.8961)	Prec@1 15.625 (15.802)	Prec@5 40.625 (37.546)
Epoch: [1][900/1345], lr: 0.00100	Time 1.450 (1.514)	Data 0.000 (0.018)	Loss 3.7982 (3.8932)	Prec@1 23.438 (15.861)	Prec@5 40.625 (37.578)
Epoch: [1][920/1345], lr: 0.00100	Time 1.544 (1.513)	Data 0.000 (0.017)	Loss 3.2201 (3.8903)	Prec@1 28.125 (15.917)	Prec@5 54.688 (37.622)
Epoch: [1][940/1345], lr: 0.00100	Time 1.454 (1.512)	Data 0.000 (0.017)	Loss 3.8660 (3.8878)	Prec@1 17.188 (15.992)	Prec@5 34.375 (37.704)
Epoch: [1][960/1345], lr: 0.00100	Time 1.519 (1.511)	Data 0.000 (0.017)	Loss 3.9474 (3.8850)	Prec@1 10.938 (16.014)	Prec@5 39.062 (37.775)
