Epoch: [1][1260/1345], lr: 0.00100	Time 0.969 (0.945)	Data 0.000 (0.017)	Loss 4.0745 (3.9706)	Prec@1 14.062 (14.883)	Prec@5 32.812 (35.991)
Epoch: [1][1280/1345], lr: 0.00100	Time 0.971 (0.944)	Data 0.000 (0.017)	Loss 3.8298 (3.9672)	Prec@1 12.500 (14.937)	Prec@5 40.625 (36.081)
Epoch: [1][1300/1345], lr: 0.00100	Time 0.981 (0.944)	Data 0.000 (0.017)	Loss 4.0747 (3.9658)	Prec@1 12.500 (14.955)	Prec@5 34.375 (36.120)
Epoch: [1][1320/1345], lr: 0.00100	Time 0.957 (0.944)	Data 0.000 (0.016)	Loss 4.0286 (3.9631)	Prec@1 18.750 (15.009)	Prec@5 35.938 (36.184)
Epoch: [1][1340/1345], lr: 0.00100	Time 0.958 (0.943)	Data 0.000 (0.016)	Loss 3.9222 (3.9606)	Prec@1 21.875 (15.061)	Prec@5 35.938 (36.266)
Epoch: [2][0/1345], lr: 0.00100	Time 17.774 (17.774)	Data 16.636 (16.636)	Loss 3.7167 (3.7167)	Prec@1 18.750 (18.750)	Prec@5 43.750 (43.750)
Epoch: [2][20/1345], lr: 0.00100	Time 0.904 (1.757)	Data 0.000 (0.793)	Loss 3.4769 (3.7827)	Prec@1 28.125 (19.568)	Prec@5 54.688 (40.476)
Epoch: [2][40/1345], lr: 0.00100	Time 0.913 (1.359)	Data 0.000 (0.406)	Loss 3.7795 (3.7350)	Prec@1 25.000 (20.236)	Prec@5 42.188 (41.006)
Epoch: [2][60/1345], lr: 0.00100	Time 1.050 (1.219)	Data 0.000 (0.273)	Loss 4.0024 (3.7488)	Prec@1 17.188 (20.108)	Prec@5 35.938 (41.189)
Epoch: [2][80/1345], lr: 0.00100	Time 0.883 (1.149)	Data 0.000 (0.206)	Loss 3.6195 (3.7356)	Prec@1 20.312 (20.139)	Prec@5 37.500 (41.667)
Epoch: [2][100/1345], lr: 0.00100	Time 0.892 (1.106)	Data 0.000 (0.165)	Loss 3.7711 (3.7367)	Prec@1 15.625 (19.647)	Prec@5 37.500 (41.414)
Epoch: [2][120/1345], lr: 0.00100	Time 1.045 (1.079)	Data 0.000 (0.138)	Loss 3.7249 (3.7358)	Prec@1 17.188 (19.589)	Prec@5 39.062 (41.387)
Epoch: [2][140/1345], lr: 0.00100	Time 0.886 (1.059)	Data 0.000 (0.118)	Loss 3.7032 (3.7324)	Prec@1 17.188 (19.426)	Prec@5 43.750 (41.512)
Epoch: [2][160/1345], lr: 0.00100	Time 0.898 (1.043)	Data 0.000 (0.104)	Loss 3.8339 (3.7300)	Prec@1 17.188 (19.497)	Prec@5 43.750 (41.663)
